,Judet,Total barbati,Total femei
0,Alba,1500,1473
1,Arad,1991,1805
2,Arges,2713,2444
3,Bacau,2959,2757
4,Bihor,2863,2663
5,Bistrita-Nasaud,1532,1349
6,Botosani,1962,1839
7,Braila,1211,1135
8,Brasov,2796,2648
9,Buzau,1907,1816
10,Calarasi,1466,1341
11,Caras-Severin,1094,1090
12,Cluj,3103,2914
13,Constanta,3568,3504
14,Covasna,1191,1102
15,Dambovita,2156,2106
16,Dolj,2731,2700
17,Gorj,1464,1243
18,Galati,2224,2138
19,Giurgiu,1318,1158
20,Hunedoara,1523,1556
21,Harghita,1651,1588
22,Ilfov,1925,1861
23,Ialomita,1329,1229
24,Iasi,4078,3938
25,Mehedinti,1114,1077
26,Maramures,1943,1889
27,Mures,2889,2610
28,Neamt,2050,2059
29,Olt,1648,1471
30,Prahova,3246,2992
31,Sibiu,2112,1978
32,Salaj,1167,1155
33,Satu Mare,1500,1376
34,Suceava,3312,3183
35,Tulcea,978,845
36,Timis,3048,2932
37,Teleorman,1322,1245
38,Valcea,1528,1449
39,Vrancea,1580,1501
40,Vaslui,1999,1927
