No.,Z1,Z2
181,-1.2322705625905055,0.537092691554872
217,-2.090434811842382,-0.39023236956126406
144,3.833835878001437,1.2344978535006135
196,-1.8068551226898804,-0.3735331422347301
206,-1.0432669382336912,-1.7314224226401969
164,-0.5951754255675719,-2.525026418546708
130,2.170408637308696,0.5766817277553471
201,-1.9825519851676834,1.1086098401775086
147,2.5769806579307226,3.3270525312419856
123,1.23733479187697,1.201409689600505
103,1.490192658531098,0.6122829864773316
180,-1.1825283583262685,-0.9746041354982364
168,-1.9298139599849207,-1.0904385816474522
177,-1.6926678692842878,-0.7079583313282425
42,-1.4582626457684658,1.690161704461121
74,2.401150985012936,0.26337928779822206
188,-0.6164468351849401,-0.7071727176291076
112,1.4480194517102416,-0.06620415792234785
82,1.827287909730144,0.6629190050496125
91,4.391771365445296,1.8715949678878907
5,-1.2344041754580886,0.10376020678509956
160,0.8088659460584187,-0.11263692351486435
161,-0.4394814188165407,-0.49606729571063146
6,-2.180386430028682,0.10860964749071367
88,1.3131337480505285,-0.22156669115344763
228,-2.041244716936782,0.7510955751365905
97,0.9414870280283755,1.5107574256338632
124,2.11933315655764,1.0353645307127832
230,-2.1386553350225226,-2.0938785639006525
57,2.712817349777118,0.6092364598023754
131,2.5921270004147376,0.2821085368782943
36,-1.9899716425293255,0.6717425392071577
19,-0.5243297210631216,1.1001422504540788
207,-1.3680022366142057,-0.8478129117379153
231,-1.811786548831075,0.19354255221188543
113,0.4152951625499157,1.9967377642153785
205,-1.6002707420914075,0.024538902840884946
62,-0.3175858961576253,0.5525556403433299
148,3.4020145874693606,-0.7372946768817181
69,-0.20850100345374548,-0.1412393564309836
60,4.549724128807087,0.49462430900285015
17,-1.9277299945732354,0.549220162942087
136,0.7789178537052905,-0.7608774154378325
158,-2.250779686586721,1.586911344277732
199,-0.9327755584151846,-0.9821521965436741
15,-1.150707873601028,-0.08360943819658928
70,0.09159006300083358,0.2633441883200484
4,-0.7150456957969686,1.2379533215548548
106,2.3070784949423557,0.3168944557902069
12,-1.4493337622093738,1.283612377690689
139,4.917848110898754,1.0551314619916523
119,2.091082494496443,1.2105076766228728
111,3.4488530364760575,-1.0407829391060568
186,-0.4169237235913459,-2.1889039077545323
178,-1.7904730948466794,-0.2786374774707334
108,3.582689553039881,2.522554266175595
134,4.968665244851543,0.800761953826461
38,-2.272766330843782,1.2244121953388636
154,-1.2316506757467476,-0.46149942234660796
232,-1.9359860160639533,1.0010960380693323
117,2.0404034160178837,1.307087598383428
39,-2.2244723409650504,0.8706299382015507
100,0.32760115345417157,1.2682626314898924
169,-0.9747799190071034,-0.6144889539013476
152,-1.6384754254277645,-0.9494147282758678
23,-3.085219896792272,1.0145141980487697
192,-1.6459802883248085,-0.3621841815074233
133,1.5643651705767865,2.6394443826725063
37,-1.7433795398192542,1.216897477159094
220,-1.5666985194562006,-0.519774544517257
54,-0.7932570216990087,-0.6514075532369497
125,2.073281044026688,1.0497568059545053
204,-1.2565624751237463,-1.0943313871621858
216,-0.3478794481546359,-0.7176080693324423
68,0.5316491503189907,-0.09054939204477175
143,3.34605414914641,-0.3454948588630131
225,-1.839269207542022,1.064106899661819
227,-0.07448000134555444,-1.0579433789901522
166,-1.0445030241530049,-0.10886500628488965
94,2.9535972123028444,0.4603647091156169
58,2.4169538099144416,-1.6025574923951518
176,-0.8227762863886625,-0.18493357950212796
76,1.1295196035150115,1.1575037378281063
102,2.4703425786592983,0.23980698748577034
157,-1.3121118956396223,1.0276169408475666
96,1.6157983066006207,0.32528175799149434
47,1.6630157104081467,-0.954185065662337
128,2.5363533628551465,1.0151393749576842
32,-1.6719362887934168,0.653097739525891
14,-1.4031300679887067,0.0593519695609212
10,-2.7172449770665055,1.9298979268123104
92,0.8229015527777239,0.6174660412773503
149,4.284987245420547,-1.213097748122716
197,-0.9732469718237271,-0.7138454109362977
